"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2017-06-14",5708.065918,5792.896973,5707.918945,5792.896973,49219200,5792.896973,"2017-06-14"
"2017-06-15",5776.300781,5791.204102,5768.153809,5776.283203,33694700,5776.283203,"2017-06-15"
"2017-06-16",5768.164063,5797.118164,5720.924805,5723.63623,52479900,5723.63623,"2017-06-16"
"2017-06-19",5731.076172,5745.567871,5726.76709,5741.90918,55163600,5741.90918,"2017-06-19"
"2017-06-20",5749.579102,5791.903809,5747.454102,5791.903809,47631600,5791.903809,"2017-06-20"
"2017-06-21",5772.085938,5818.551758,5771.576172,5818.551758,41419800,5818.551758,"2017-06-21"
"2017-06-22",5830.978027,5831.339844,5804.603027,5829.708008,36295400,5829.708008,"2017-06-22"
"2017-06-23",NA,NA,NA,NA,NA,NA,"2017-06-23"
"2017-06-26",NA,NA,NA,NA,NA,NA,"2017-06-26"
"2017-06-27",NA,NA,NA,NA,NA,NA,"2017-06-27"
"2017-06-28",NA,NA,NA,NA,NA,NA,"2017-06-28"
"2017-06-29",NA,NA,NA,NA,NA,NA,"2017-06-29"
"2017-06-30",NA,NA,NA,NA,NA,NA,"2017-06-30"
"2017-07-03",5846.603027,5910.236816,5831.204102,5910.236816,47327700,5910.236816,"2017-07-03"
"2017-07-04",5886.720215,5896.370117,5858.61377,5865.36377,38141000,5865.36377,"2017-07-04"
"2017-07-05",5865.424805,5874.685059,5808.345215,5825.054199,45875400,5825.054199,"2017-07-05"
"2017-07-06",5817.794922,5852.344238,5817.391113,5849.575195,40285800,5849.575195,"2017-07-06"
"2017-07-07",5839.888184,5863.584961,5810.361816,5814.792969,36388600,5814.792969,"2017-07-07"
"2017-07-10",5814.792969,5826.313965,5769.338867,5771.505859,29086900,5771.505859,"2017-07-10"
"2017-07-11",5772.97998,5784.081055,5765.362793,5773.326172,50424600,5773.326172,"2017-07-11"
"2017-07-12",5771.473145,5827.131836,5771.473145,5819.131836,43977100,5819.131836,"2017-07-12"
"2017-07-13",5839.397949,5843.175781,5809.401855,5830.043945,41691200,5830.043945,"2017-07-13"
"2017-07-14",5827.548828,5833.758789,5804.436035,5831.794922,35734600,5831.794922,"2017-07-14"
"2017-07-17",5831.023926,5841.279785,5824.26416,5841.279785,49922900,5841.279785,"2017-07-17"
"2017-07-18",5824.932129,5831.693848,5806.603027,5822.352051,53830100,5822.352051,"2017-07-18"
"2017-07-19",5822.236816,5822.481934,5797.346191,5806.689941,43518400,5806.689941,"2017-07-19"
"2017-07-20",5808.881836,5828.140137,5808.116211,5825.208008,43771900,5825.208008,"2017-07-20"
"2017-07-21",5824.525879,5831.462891,5760.958984,5765.423828,40711100,5765.423828,"2017-07-21"
"2017-07-24",5760.083984,5801.586914,5756.513184,5801.586914,49340900,5801.586914,"2017-07-24"
"2017-07-25",5805.597168,5813.535156,5780.484863,5813.535156,46895400,5813.535156,"2017-07-25"
"2017-07-26",5809.893066,5831.640137,5785.899902,5800.206055,56453600,5800.206055,"2017-07-26"
"2017-07-27",5807.275879,5820.962891,5805.922852,5819.744141,49848700,5819.744141,"2017-07-27"
